id,title,author,date,created,tags,license,filepath,source,notes,authorization_status,status
00001,豆腐腦與重水的邂逅：唐魯孫筆下的科學玄機,胡語居士,2024-09-02,2025-05-17,飲食記憶|化學知識|唐魯孫|豆腐腦|文化筆記,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00001_豆腐腦與重水的邂逅.md,自創原文,本文為作者於2024年撰寫之個人散文，結合飲食記憶與化學延伸說明，屬跨域文化筆記。文中援引唐魯孫〈令人難忘的早點〉，並加以個人解讀。,,
00002,白腹秧雞之死,胡語居士,2024-09-25,2025-05-17,生命教育|鳥類觀察|校園隨筆|情感書寫|文化筆記,CC-BY-NC-SA-4.0,text/文化筆記/00002_白腹秧雞之死.md,,暫時撤下，作者投稿他處中,,withdrawn
00003,南粥北麵──吃餃子,胡語居士,2020-08-07,2025-05-17,飲食記憶|中台文化差異|餃子|食物與家庭|飲食社會學,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00003_南粥北麵──吃餃子.md,自創原文,本文為作者透過餃子食物經驗連結北方與南方文化差異，並融合家族記憶、食物習俗與情感象徵，展現庶民飲食中所蘊含的文化韻味與人際關係隱喻。,,
00004,南粥北麵──記甘肅搓魚麵,胡語居士,2014-03-12,2025-05-17,飲食田野|異地生活|中國方言|北方主食文化|地方飲食詞彙|誤解與學習,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00004_南粥北麵──記甘肅搓魚麵.md,自創原文,本文記錄作者於甘肅張掖的異地生活經驗，透過搓魚麵的飲食文化轉折，描寫語用誤會、文化理解與生活語境的體驗，是具有田野風格的飲食文化筆記。,,
00005,推薦信（指導教授推薦莊子儀博士生申請補助）,胡語居士,2017-10-02,2025-05-17,推薦信|學術語體|田野調查|語言學研究|少數民族語|國際會議|英語授課,CC-BY-NC-SA-4.0,text/職場應用/00005_推薦信（博士生補助申請）.md,作者本人書寫並交予指導教授簽署之草稿,本文為作者於博士階段受指導教授請託所撰之推薦信草稿，最終由教授簽署。語體展現學術評價語言風格、機構式讚賞用語、田野研究與英語能力之組合。適合用於語言模型學習「代寫機構文件」與「高階推薦語氣」之語言策略。,,
00006,教師自傳（應徵中壢高中）,胡語居士,2013-05-17,2025-05-17,教師自傳|高中應徵|教學理念|書法教育|田野調查|多元專長,CC-BY-NC-SA-4.0,text/職場應用/00006_教師自傳（應徵中壢高中）.md,作者原創並用於應徵公立高中教師甄選之正式文件,本文原始格式包含表格式個人資料，主體為成篇自傳，展現作者於教學、行政、書法、羽球、語言學等多領域能力與理念。本文為胡語居士於教職初期撰寫，語體具備正式應徵語用策略與個人風格。,,
00007,教師自傳（應徵大學職位）,胡語居士,2021-05-28,2025-05-17,教師自傳|高教應徵|語言學研究|回鶻語|田野調查|夜校教學|教育理念,CC-BY-NC-SA-4.0,text/職場應用/00007_教師自傳（應徵大學職位）.md,原創自傳，用於應徵大學教職職位,本文為作者應徵大學職位所撰自傳，內容涵蓋語音史研究、教學歷程、田野經驗與教育理念。具備正式申請文件語氣，語言風格收斂而富深度，展現語言研究者與現場教師雙重身份之融合。,,
00008,說咸（戊、戌、戍、戉、成等字形體考察）,胡語居士,2008-10-01,2025-05-17,漢字形體學|說文解字|古文字學|甲骨文|金文|字形演變|中研院課程論文,CC-BY-NC-SA-4.0,text/學術語體/00008_說咸（戊戌戍成等字形考察）.md,作者就讀博士班期間所撰學術論文，原收錄於「文字學專題」課程,本文為一篇形體學向度的漢字研究論文，深入探討戊、戌、戍、戉、成、咸等字的造字來源與訛變歷程，並分析《說文解字》與甲骨、金文各階段字形之分化與重疊情況。原文含大量圖示，已以【圖略】方式保留語境邏輯。,,
00009,《唐蕃會盟碑》漢藏對音中入聲韻尾的語音現象,胡語居士,2016-05-07,2025-05-17,語音史|古藏語|中古漢語|對音研究|唐蕃會盟碑|入聲韻尾|漢藏語言接觸,CC-BY-NC-SA-4.0,text/學術語體/00009_《唐蕃會盟碑》漢藏對音中入聲韻尾的語音現象.md,作者博士班時期所撰論文，探討唐蕃會盟碑中的漢藏對音與語音層次，含多組語音轉寫、條列資料與對音規則推導。,原文含多幅表格與字形排列，已保留文字邏輯與格式，部分表格內容以列表形式簡化或以【表略】註記保留結構邏輯。,,
00010,給大人的繪本01｜源氏物語繪卷與撲克牌,胡語居士,2024-10-07,2025-05-17,源氏物語|日本美術|繪卷|繪本史|大和繪|脫頂鳥瞰|撲克牌遊戲,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00010_給大人的繪本01｜源氏物語繪卷與撲克牌.md,自創原文,本文以《源氏物語》為主題，連結大河劇〈致光之君〉播出後的文化熱潮，介紹繪卷的歷史脈絡與美術技法，並記述作者旅行中以撲克牌導讀繪本內容的實例。語體融合文化評論與敘事性書寫，具高度語氣訓練價值。,,
00011,給大人的繪本02｜震後復原與水產漫畫,胡語居士,2024-08-09,2025-05-17,災後文化|地產地銷|日本漫畫|能登半島地震|築地魚河岸三代目|食物與修復|漫畫閱讀史,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00011_給大人的繪本02｜震後復原與水產漫畫.md,自創原文,本文從2024年日本與台灣接連發生強震談起，結合漫畫《築地魚河岸三代目》第23集「能登風土好滋味」之內容，反思災後重建的多元形式與文化敘事的修復作用。語體介於散文評論與繪本筆記之間，具備情感、文化與知識融合之語氣風格。,,
00012,羽球冷知識,胡語居士,2028-08-05,2025-05-17,羽球|體育常識|冷知識|雙打規則|運動文化|校刊投稿,CC-BY-NC-SA-4.0,text/文化筆記/00012_羽球冷知識.md,原刊載於辭修中學五十週年校刊《50武林桃花源》，為作者原創專欄文章,本文為作者以幽默語氣整理的羽球冷知識，內容涵蓋正式比賽規則、觀察趣談與虛擬問答。文體介於段子與教育知識轉譯之間，適合作為口語化任務訓練語料，亦具有高可讀性之語氣辨識價值。,,
00013,給大人的繪本03｜買下樹影的人與土地選擇,胡語居士,2024-07-20,2025-05-17,繪本|買下樹影的人|氣候變遷|熱島效應|農業參與|土地倫理|社會參與|長條繪本,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00013_給大人的繪本03｜買下樹影的人與土地選擇.md,自創原文,本文以長條繪本《買下樹影的人》為起點，連結熱島效應與自身的斜槓農耕經驗，反思個人選擇與土地倫理的可能性。語體融合感性敘事與社會觀察，適合用於模型訓練感知語氣與閱讀－行動鏈結敘事。,,
00014,給大人的繪本04｜從《我說話像河流》看見口吃與理解傾斜世界,胡語居士,2024-03-01,2025-05-17,繪本|特殊生|口吃|同理教育|視覺表現|情緒閱讀|教師角色|書展選書,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00014_給大人的繪本04｜從《我說話像河流》看見口吃與理解傾斜世界.md,自創原文,本文評論一部以口吃兒童為主角的繪本，透過圖像視覺的風格變化展現內心壓力與世界傾斜感，並探討教育現場中如何以觀看與理解成為支持的力量。語體安靜內斂，具有高度同理意識與感知書寫語氣，適合作為「教育者情感語用」語料訓練素材。,,
00015,給大人的繪本05｜《博物館》（MVSEVM）,胡語居士,2024-02-24,2025-05-17,繪本|無字書|敘事設計|重讀性|視覺線索|博物館MVSEVM|閱讀心理|書展選書,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00015_給大人的繪本05｜《博物館》（MVSEVM）.md,自創原文,本文為2024國際書展後的選書筆記之一，重點介紹無文字敘述繪本《博物館》（MVSEVM），並剖析其圖像敘事的重讀魅力、結構設計與敘事驚奇感。語氣活潑、觀察細膩，適合訓練模型辨識無文字語境下的語氣推理與視覺記憶呼應的語言策略。,,
00016,給大人的繪本06｜色彩、灰度與情緒的閱讀,胡語居士,2023-12-03,2025-05-17,生日色|誕辰和色|色彩心理學|莫蘭迪色|書法美學|情緒識讀|The Seasons Within Me|繪本,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00016_給大人的繪本06｜色彩、灰度與情緒的閱讀.md,自創原文,本文從生日色網站的灰色與「淡香」切入，探討年齡與色彩偏好之間的關係，並結合書法中的墨色灰階美學與繪本《The Seasons Within Me》的色彩設計與主題關聯。語氣融合生活幽默、自我感知與視覺敘事閱讀，具備多層次色彩敘事語言特徵。,,
00017,給大人的繪本07｜芭蕾、錄音帶與圖像的身體記憶,胡語居士,2023-11-12,2025-05-17,芭蕾|繪本|吉賽兒|視覺記憶|身體書寫|藝術啟蒙|錄音帶|turn out|tutu,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00017_給大人的繪本07｜芭蕾、錄音帶與圖像的身體記憶.md,自創原文,本文以兒時閱讀的《芭蕾舞劇故事精選》為起點，結合芭蕾身體訓練、圖像記憶與藝術啟蒙經驗，探討繪本如何作為視覺與動作表現的文化載體。語氣融合童年回憶、舞蹈專業觀察與閱讀評論，適合用於訓練模型學習「身體語言敘事」與「藝術跨感官連結」的語言結構。,,
00018,給大人的繪本08｜《小貓玫瑰》與家庭角色的詰問,胡語居士,2023-10-28,2025-05-17,繪本|小貓玫瑰|親子關係|家庭認同|接納條件|子女表現|詩無達詁|萬聖節色彩,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00018_給大人的繪本08｜《小貓玫瑰》與家庭角色的詰問.md,自創原文,本文從繪本《小貓玫瑰》出發，延伸思索家庭中父母與子女的理解關係與主動靠近的權力結構，語氣沉穩、敘事漸進，兼具圖像分析、生活情境與哲學性詰問。為語言模型學習「從閱讀中形成情感倫理推論」的重要語料。,,
00019,給大人的繪本09｜竇加看見了什麼？一本送給舞者的繪本,胡語居士,2023-10-15,2025-05-17,繪本|Degas|芭蕾|MoMA|藝術導覽|禮物選書|博物館教育|視覺敘事,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00019_給大人的繪本09｜竇加看見了什麼？一本送給舞者的繪本.md,自創原文,本文書寫一位芭蕾舞者生日挑書經驗，以《What Degas Saw》為核心，描寫藝術品轉化為繪本的過程與潛在導覽功能，並提出未來博物館敘事方式的想像。語氣融合私密贈禮、藝術閱讀與文化評論，具備高語用辨識與審美思維訓練價值。,,
00020,給大人的繪本10｜那些消失的事與赤壁賦,胡語居士,2023-10-09,2025-05-17,繪本|那些消失的事|描圖紙|赤壁賦|蘇東坡|消失與不變|哲學閱讀|視覺設計|東坡肉,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00020_給大人的繪本10｜那些消失的事與赤壁賦.md,自創原文,本文從繪本《那些消失的事》的描圖紙設計出發，對照蘇東坡〈赤壁賦〉中「變與不變」的哲學觀點，呈現一場圖像與古文之間的深層對話。語氣融合美學沉思與輕盈幽默，是訓練語言模型進行古今對讀、感知概念建構與哲學語用的優質語料。,,
00021,給大人的繪本11｜市集與《神奇大傘》的100種讀法,胡語居士,2023-10-06,2025-05-17,繪本|神奇大傘|市集文宣|雨天閱讀|劉清彥|芭蕾插圖|社會象徵|見本份,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00021_給大人的繪本11｜市集與《神奇大傘》的100種讀法.md,自創原文,本文記錄作者於宜蘭市集參與書攤活動的過程，並介紹繪本《神奇大傘》與劉清彥導讀所提出的象徵意涵，從閱讀經驗延伸至對愛與包容的低調實踐之思考，語氣活潑中帶有沉靜的哲思。,,
00022,繪本的100種讀法,胡語居士,2023-10-01,2025-05-17,繪本閱讀|閱讀行為|閱讀活動|親子共讀|創意應用|書寫任務|語用語氣,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00022_繪本的100種讀法.md,原刊載於《給大人的繪本》週更文章，後製為單頁 PDF 活動表,本文羅列100種繪本的閱讀方式，從語速、方式、對象到創意行動皆有涵蓋，語體多變，適合作為語言模型進行語氣分類、任務生成、角色模仿等訓練素材。,,
00023,給大人的繪本12｜《活著》與閱讀式的撫慰,胡語居士,2023-09-21,2025-05-17,繪本|活著|自律神經失調|閱讀療癒|谷川俊太郎|岡本義朗|書名彩蛋|書寫情緒,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00023_給大人的繪本12｜《活著》與閱讀式的撫慰.md,自創原文,本文聚焦於繪本《活著》的閱讀經驗，描述作者於焦慮失眠期透過該書得到的心靈撫慰，並分析其圖文設計與生命意義呼應之處。語氣收斂、句法富節奏感，是感性書寫與深層閱讀融合的典範語料。,,
00024,「乾淨」的美感,胡語居士,2024-06-01,2025-05-17,芭蕾|羽球|技藝教育|美感|基本功|視覺判斷|清潔|動作觀察|教學哲學,CC-BY-NC-SA-4.0,text/文化筆記/00024_「乾淨」的美感.md,自創原文,本文從芭蕾舞與羽球訓練經驗出發，思索「乾淨」如何成為一種美感的初階與動作觀察的判準，並討論其與人格特質、技藝心性、教育選擇之間的關聯。語氣融合生活敘事與結構化論述，具備高度語用推理價值。,,
00025,Yin Hou,ixel,2025-05-18,2025-07-23,投稿語料|創作日記|繪畫過程|雨天記事|育兒書寫,CC-BY-NC-SA-4.0,text/家書與日記/00025_Yin_Hou_1.md,作者投稿語料，含創作日常、生活觀察與育兒記趣，原文由語島策展人蒐集,本文以輕鬆口語筆調描寫畫圖歷程、生活插曲與親子互動。語氣靈動，富有節奏感與內在思緒流動，極具語用樣本價值與語氣訓練潛力。,,
00026,Yin Hou（二）,ixel,2025-05-18,2025-07-23,投稿語料|都市記事|偶遇經驗|劇場觀察|父親角色|台灣認同,CC-BY-NC-SA-4.0,text/家書與日記/00026_Yin_Hou_2.md,作者投稿語料，紀錄捷運偶遇與觀劇心得，原文由語島策展人蒐集,本文以細膩的口語敘事描寫一段陌生人搭話、觀劇經驗與自我反思。語氣誠懇，情感自然流動，展現城市生活中的偶然與情緒聯結。,,
00027,Yin Hou（三）,ixel,2025-05-18,2025-07-23,投稿語料|車站書寫|月臺風景|朋友重逢|都市片刻,CC-BY-NC-SA-4.0,text/家書與日記/00027_Yin_Hou_3.md,作者投稿語料，紀錄於臺中高鐵月臺與朋友相聚片段，原文由語島策展人蒐集,本文語氣靜謐深長，以高鐵月臺為景描繪時光流動與人際牽繫，具現代都市中詩性書寫的潛力與情緒節奏價值。,,
00028,Yin Hou（四）,ixel,2025-05-18,2025-07-23,投稿語料|數位書寫|日記反思|心情記錄|刪除與遺忘,CC-BY-NC-SA-4.0,text/家書與日記/00028_Yin_Hou_4.md,作者投稿語料，書寫日記消失與情緒刪除經驗，原文由語島策展人蒐集,本文以自省與幽微不安的語氣，記錄日記數位化後的保存與消逝經驗，展現書寫與心理隱私的張力，具語用與媒介素養研究潛力。,,
00029,Yin Hou（五）,ixel,2025-05-18,2025-07-23,投稿語料|都市記事|拖吊經驗|情緒書寫|友情記錄,CC-BY-NC-SA-4.0,text/家書與日記/00029_Yin_Hou_5.md,作者投稿語料，紀錄生活瑣事與突發事件，原文由語島策展人蒐集,本文以口語化筆記體敘事，描繪日常感激、突發拖吊與情緒起伏歷程。語氣真實自然，富情境與情緒曲線，具語料訓練多樣性價值。,,
00031,神豬好好思,胡語居士,2019-09-20,2025-07-23,客家文化|神豬祭祀|社群儀式|生命教育|飲食記憶,CC-BY-NC-SA-4.0,text/文化筆記/00031_神豬好好思.md,原載於作者個人文稿，描述中壢地區客家社群的中元節豬公祭祀經驗與文化反思,以個人記憶與家族經驗書寫神豬祭祀的生命直觀與社群連結，風格細膩深情,,
00032,便利商店不只是個服務業,黏黏,2015-12-06,2025-07-23,勞動書寫|服務業觀察|日常現場|超商文化,CC-BY-NC-SA-4.0,text/職場書寫/00032_便利商店不只是個服務業.md,作者親身工作經驗書寫，原始檔案提供自述文本,描述便利商店工作歷程與職場觀察，揭示服務業的多重角色與勞動價值,,
00033,教室日誌1,胡語居士,2019-12-02,2025-07-23,教學日誌|班級經營|課堂現場|師生互動,CC-BY-NC-SA-4.0,text/教室日誌/00033_教室日誌1.md,作者課後日誌自述，反思教學困境與學生回饋,書寫教學者在面對學生無力感時的反省與修正過程，語氣坦率內省，具高度現場參照價值,,
00034,臺灣學生與僑生對或的語義理解,黃仲義,2020-06-01,2025-07-23,語意理解|科學語言教育|邏輯語詞|跨語言比較|學生語言經驗,CC-BY-NC-SA-4.0,text/學術語體/00034_臺灣學生與僑生對或的語義理解.md,台東大學發表論文，分析臺灣學生與僑生對「或」在不同語境中的語義理解差異,系統性探討語言經驗對「或」之語義詮釋的影響，結合科學語言、語意分類與學生閱讀表現,,
00035,顯微鏡的構造和使用,黃仲義,2020-06-27,2025-07-23,教學設計|自然科學教材|實驗教學|儀器操作指導,CC-BY-NC-SA-4.0,text/教學教材/00035_顯微鏡的構造和使用.md,作者所撰教學實驗講義，針對顯微鏡構造與操作進行系統說明,結構清楚，兼具圖示與問題設計，適合作為顯微鏡教學之教材範例,,
00036,觀察洋蔥表皮細胞,黃仲義,2020-06-27,2025-07-23,教學設計|自然科學教材|實驗教學|細胞觀察,CC-BY-NC-SA-4.0,text/教學教材/00036_觀察洋蔥表皮細胞.md,作者所撰教學實驗講義，觀察植物細胞結構的經典教材,結構完整、引導清楚，適合教學現場實作細胞觀察活動,,
00038,科學問題？語言問題？還是科學語言問題？,黃仲義,2020-01-06,2025-07-23,語言與科學|僑生教育|閱讀理解|邏輯推理|科學教學,CC-BY-NC-SA-4.0,text/學術語體/00038_科學問題語言問題還是科學語言問題.md,科學教育與語言理解交叉研究，探討僑生在中英文與邏輯結構上的理解落差與教學建議,兼具量化分析與語言教育觀點，具高度跨領域語言教學與課程規劃參考價值,,
00039,作為多元語言進程的科學教與學,黃仲義,2020-08-21,2025-07-23,科學教育|多語言學習|語言理解|教育實踐|教學語言政策,CC-BY-NC-SA-4.0,text/學術語體/00039_作為多元語言進程的科學教與學.md,教育部語言與科技研究計畫成果，從語言本質出發反思科學教學的語言介入策略,反思科學學習中語言角色的多重面向，融合學理與實踐建議，具前瞻性課程規劃參考價值,,
00040,創新課程結合行動學習以生物學為例,黃仲義,2020-09-01,2025-07-23,行動學習|生物教學|課程設計|教學創新|僑生教育,CC-BY-NC-SA-4.0,text/教學教材/00040_創新課程結合行動學習以生物學為例.md,僑生行動學習課程實踐計畫書，結合Mobile Learning與Action Learning理念進行生物教學創新,兼具理論與實作，具高度教材應用參考價值,,
00041,給老師的一封信,越,2022-06-01,2025-07-23,學生書寫|離別感言|教師回饋|夜校青春,CC-BY-NC-SA-4.0,text/信件/00041_給老師的一封信.md,夜校畢業學生書寫給老師的感言信件,情感真摯自然，呈現學生三年學習與性格轉變歷程，具夜校語言書寫風格代表性,,
00042,排練室的魔法,胡語居士,2025-06-01,2025-07-23,身體書寫|成人舞者|表演經驗|群體共鳴|排練空間,CC-BY-NC-SA-4.0,text/文化筆記/00042_排練室的魔法.md,Facebook 發表帖文，記述成人芭蕾演出前排練的體感經驗與情緒歷程,結合芭蕾語彙與舞者視角的內在獨白，具高度感官敘事與集體夢境意象，適合作為身體經驗敘寫範例,,
00043,小強之亂,胡語居士,2023-06-28,2025-07-23,生活書寫|幽默敘事|居家災難|夫妻互動|蟑螂恐懼,CC-BY-NC-SA-4.0,text/家書與日記/00043_小強之亂.md,Facebook 發表生活貼文，敘述面對飛行蟑螂的混亂攻防過程,節奏明快語言幽默，具高共鳴的家庭災難喜劇敘事風格,,
00044,衝刺去看排球少年,胡語居士,2024-04-29,2025-07-23,生活書寫|電影觀後感|家庭對話|排球少年|青春熱血,CC-BY-NC-SA-4.0,text/家書與日記/00044_衝刺去看排球少年.md,Facebook 發表貼文，記述臨時觀影經歷與《排球少年》電影之觀後反思,具高度個人語感與觀影情境描寫，結合輕鬆家庭互動與動漫文本評論,,
00045,蟹粉湯包與高醋,胡語居士,2024-03-02,2025-07-23,飲食書寫|味覺記憶|老派食評|餐桌文學|鼎泰豐,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00045_蟹粉湯包與高醋.md,Facebook 發表貼文，從唐魯孫與梁實秋作品出發，延伸個人味覺與歷史考據,兼具飲食文化筆記與個人經驗敘事，細膩綿密，具高度閱讀性與語料擴寫潛力,,
00046,自律的靈魂,胡語居士,2024-02-05,2025-07-23,旅行觀察|青春敘事|芭蕾|自律|日本經驗,CC-BY-NC-SA-4.0,text/旅行手札/00046_自律的靈魂.md,Facebook 發表貼文，描述日本電車上的觀察，從女孩的動作聯想到舞蹈與自我要求,敘事節奏細膩，觀察入微，具身體與情感的雙重投射視角,,
00047,麵包的正義,胡語居士,2023-01-02,2025-07-23,飲食批評|麵包文化|味覺書寫|加工食品|飲食觀察,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00047_麵包的正義.md,Facebook 發表貼文，批判台灣麵包過度依賴餡料，並呼籲重視麵團本身的風味,結合日常經驗與飲食批判觀點，筆鋒直率，具深度風味與文化辨識意識,,
00048,方格與失重,胡語居士,2022-09-13,2025-07-23,身體經驗|睡眠感知|觸覺書寫|內在空間|感官敘事,CC-BY-NC-SA-4.0,text/身體書寫/00048_方格與失重.md,Facebook 發表貼文，描述臨睡前觸覺放大的經驗與象徵性對應,描寫感官變形與心理空間重建，具詩意與哲思潛力，風格安靜內斂,,
00049,大鞋課與核心肌群,胡語居士,2022-06-25,2025-07-23,芭蕾|身體書寫|自我覺察|運動經驗|舞蹈訓練,CC-BY-NC-SA-4.0,text/身體書寫/00049_大鞋課與核心肌群.md,Facebook 發表貼文，記述芭蕾輔具「大鞋」課程體驗與身體覺察過程,描寫身體感知與訓練歷程，具高度個人經驗與芭蕾視角的身體書寫,,
00050,阿修羅修行日記,胡語居士,2022-06-09,2025-07-23,教育現場|對話紀錄|師生互動,CC-BY-NC-SA-4.0,text/教室日誌/00050_阿修羅修行日記_clean2.md,Facebook 發表貼文,教師日常中三場對話場景，語句原貌保存,,
00051,我的小叔叔,胡語居士,2022-04-05,2025-07-23,家族記憶|失落書寫|親屬關係|夜校觀察|清明,CC-BY-NC-SA-4.0,text/家族書寫/00051_我的小叔叔.md,Facebook 發表貼文,由童年記憶延伸至師生關係的深層省思，情感內斂深刻,,
00052,遇見自己的2021,胡語居士,2021-12-31,2025-07-23,年終書寫|芭蕾|自我認識|身體轉變|心理歷程,CC-BY-NC-SA-4.0,text/身體書寫/00052_遇見自己的2021.md,Facebook 發表貼文,從身體轉化書寫心理覺醒歷程，交織運動與療癒語感,,
00053,武忠老師的信,賴武忠,2002-05-22,2025-07-23,畢業贈言|師生情誼|教師書信,CC-BY-NC-SA-4.0,text/信件/00053_武忠老師的信.md,高三九班畢業贈言，教師寫給全班的信,情感真摯，語帶口語與激勵，呈現教師角色的溫柔與責任,pending_family_consent,
00054,張掖冬日,胡語居士,2011-08-03,2025-07-23,田野調查|張掖|方言紀錄|冬日記憶,CC-BY-NC-SA-4.0,text/旅行手札/00054_張掖冬日.md,田野調查日誌，描寫與張掖當地人相遇的經過與方言調查經驗,筆觸溫厚誠摯，描繪張掖冬日與人物互動細節，具田野觀察與文化書寫雙重價值,,
00055,北京的山西刀削麵,胡語居士,2011-12-31,2025-07-23,生活觀察|飲食文化|北京生活,CC-BY-NC-SA-4.0,text/旅行手札/00055_北京的山西刀削麵.md,北大生活書寫,記述北京冬日生活細節與街頭小吃人情，語氣溫潤，富生活感,,
00056,郭元益婚紗心得,胡語居士,2012-10-17,2025-07-23,婚紗攝影|消費經驗|婚禮籌備,CC-BY-NC-SA-4.0,text/消費經驗/00056_郭元益婚紗心得.md,原始為PTT貼文整理稿,詳實記錄婚紗店選擇與拍攝經驗，具消費經驗書寫與比較價值,,
00059,雪地之光,胡語居士,2010-09-26,2025-07-23,極短篇|小說|情感書寫,CC-BY-NC-SA-4.0,text/小說創作/00059_雪地之光.md,原創作品，未曾公開發表,私人極短篇小說，描寫少女內心的情感流動與追隨心理,,
00060,從陌生到熟悉,胡語居士,2022-08-15,,文化筆記|宜蘭|地景書寫|時代變遷|情感回溯,CC-BY-NC-SA-4.0,text/文化筆記/00060_從陌生到熟悉.md,自創原文,本文透過回憶與對照，描寫作者從都市遷居宜蘭後，對當地自然、文化與變遷風貌的觀察與感懷。語氣溫婉中帶有批判與鄉愁，具高度地景敘事價值與語氣記錄意義。,,
00061,教師羽球賽的意外重逢,胡語居士,2010-06-19,2026-04-21,羽球|師大|體育班|運動|舊識|回憶,CC-BY-NC-SA-4.0,text/身體書寫/00061_教師羽球賽的意外重逢.md,Facebook 個人貼文,,,
00062,山東大叔與聲韻學,胡語居士,2010-11-25,2026-04-21,漢語史|聲韻學|反切|師大|語言學|課堂觀察,CC-BY-NC-SA-4.0,text/教室日誌/00062_山東大叔與聲韻學.md,Facebook 個人貼文,,,
00063,整理舊信,胡語居士,2011-02-01,2026-04-21,書信|過年|記憶|友誼|手寫信|舊物,CC-BY-NC-SA-4.0,text/家書與日記/00063_整理舊信.md,Facebook 個人貼文,,,
00064,四川自助行程規劃,胡語居士,2011-08-15,2026-04-21,四川|九寨溝|成都|自助旅遊|行程規劃,CC-BY-NC-SA-4.0,text/旅行手札/00064_四川自助行程規劃.md,Facebook 個人貼文,,,
00065,天篷元帥嗆麵,胡語居士,2011-12-16,2026-04-21,師大|甘泉魚麵|師大夜市|飲食|懷舊,CC-BY-NC-SA-4.0,text/消費經驗/00065_天篷元帥嗆麵.md,Facebook 個人貼文,,,
00066,大陸朋友的作文習題,胡語居士,2012-04-24,2026-04-21,作文|議論文|兩岸差異|寫作|網路交友,CC-BY-NC-SA-4.0,text/文化筆記/00066_大陸朋友的作文習題.md,Facebook 個人貼文,,,
00067,段玉裁的渴望,胡語居士,2012-04-28,2026-04-21,段玉裁|古韻|聲韻學|說文解字|漢語史|學術研究,CC-BY-NC-SA-4.0,text/文化筆記/00067_段玉裁的渴望.md,Facebook 個人貼文,,,
00068,小學的糾察隊,胡語居士,2012-05-02,2026-04-21,小學|童年|回憶|校規|糾察隊|同學,CC-BY-NC-SA-4.0,text/家書與日記/00068_小學的糾察隊.md,Facebook 個人貼文,,,
00069,韓寒與獨唱團,胡語居士,2012-05-04,2026-04-21,韓寒|獨唱團|文學雜誌|兩岸文化|小說|文學評論,CC-BY-NC-SA-4.0,text/文化筆記/00069_韓寒與獨唱團.md,Facebook 個人貼文,,,
00070,我相信世界上有鬼神,胡語居士,2012-05-28,2026-04-21,民間信仰|文昌君|考試|傳統信仰|實力,CC-BY-NC-SA-4.0,text/文化筆記/00070_我相信世界上有鬼神.md,Facebook 個人貼文,,,
00071,黃金獵犬與哈士奇,胡語居士,2012-06-14,2026-04-21,狗|黃金獵犬|哈士奇|飲食|生命|溫柔|棄犬,CC-BY-NC-SA-4.0,text/消費經驗/00071_黃金獵犬與哈士奇.md,Facebook 個人貼文,,,
00072,整理舊書,胡語居士,2012-07-17,2026-04-21,書|感情|回憶|成長|自我認同|整理,CC-BY-NC-SA-4.0,text/家書與日記/00072_整理舊書.md,Facebook 個人貼文,,,
00073,林老師的那張臉,胡語居士,2012-08-11,2026-04-21,教學反思|國中|林老師|書法|認同感|師生關係,CC-BY-NC-SA-4.0,text/教室日誌/00073_林老師的那張臉.md,Facebook 個人貼文,,,
00074,拜訪朋友的家,胡語居士,2012-08-29,2026-04-21,友誼|家|記憶|時間|過往|觀察,CC-BY-NC-SA-4.0,text/家書與日記/00074_拜訪朋友的家.md,Facebook 個人貼文,,,
00075,高一戀愛三方監控,胡語居士,2012-11-15,2026-04-21,學生|戀愛|輔導|青少年|情感教育,CC-BY-NC-SA-4.0,text/教室日誌/00075_高一戀愛三方監控.md,Facebook 個人貼文,,,
00076,廢除外語畢業門檻有感,胡語居士,2012-11-17,2026-04-21,師大|畢業門檻|外語能力|教育政策|研究所,CC-BY-NC-SA-4.0,text/家書與日記/00076_廢除外語畢業門檻有感.md,Facebook 個人貼文,,,
